"";"qtd_miss";"percent_missing"
"ORIGEM";0;0
"CODESTAB";25937;0,91
"CODMUNNASC";0;0
"LOCNASC";0;0
"IDADEMAE";36;0
"ESTCIVMAE";0;0
"ESCMAE";0;0
"CODOCUPMAE";225700;7,92
"QTDFILVIVO";70281;2,47
"QTDFILMORT";110419;3,88
"CODMUNRES";0;0
"GESTACAO";0;0
"GRAVIDEZ";0;0
"PARTO";0;0
"CONSULTAS";0;0
"DTNASC";0;0
"HORANASC";2513;0,09
"SEXO";0;0
"APGAR1";44237;1,55
"APGAR5";44522;1,56
"RACACOR";0;0
"PESO";746;0,03
"IDANOMAL";0;0
"DTCADASTRO";0;0
"CODANOMAL";0;0
"NUMEROLOTE";2965;0,1
"VERSAOSIST";0;0
"DTRECEBIM";5092;0,18
"DIFDATA";0;0
"DTRECORIGA";2849146;100
"NATURALMAE";53998;1,9
"CODMUNNATU";53998;1,9
"CODUFNATU";53909;1,89
"ESCMAE2010";41131;1,44
"SERIESCMAE";1001696;35,16
"DTNASCMAE";30472;1,07
"RACACORMAE";99662;3,5
"QTDGESTANT";80827;2,84
"QTDPARTNOR";105934;3,72
"QTDPARTCES";118657;4,16
"IDADEPAI";1775665;62,32
"DTULTMENST";1390955;48,82
"SEMAGESTAC";37092;1,3
"TPMETESTIM";37092;1,3
"CONSPRENAT";51895;1,82
"MESPRENAT";72788;2,55
"TPAPRESENT";33957;1,19
"STTRABPART";43795;1,54
"STCESPARTO";39577;1,39
"TPNASCASSI";28907;1,01
"TPFUNCRESP";105833;3,71
"TPDOCRESP";25569;0,9
"DTDECLARAC";46616;1,64
"ESCMAEAGR1";41131;1,44
"STDNEPIDEM";3;0
"STDNNOVA";0;0
"CODPAISRES";9;0
"TPROBSON";0;0
"PARIDADE";0;0
"KOTELCHUCK";0;0
"CONTADOR";0;0
"def_sexo";0;0
"def_raca_cor";0;0
"def_est_civil";0;0
"def_loc_nasc";0;0
"def_escol_mae";0;0
"def_gravidez";0;0
"def_gestacao";0;0
"def_parto";0;0
"def_consultas";0;0
"def_anomalia";0;0
"nasc_MUNNOME";0;0
"nasc_MUNNOMEX";0;0
"nasc_AMAZONIA";0;0
"nasc_FRONTEIRA";0;0
"nasc_CAPITAL";0;0
"nasc_MSAUDCOD";0;0
"nasc_RSAUDCOD";0;0
"nasc_CSAUDCOD";0;0
"nasc_ANOEXT";2849146;100
"nasc_SUCESSOR";2849146;100
"nasc_LATITUDE";1;0
"nasc_LONGITUDE";1;0
"nasc_ALTITUDE";1;0
"nasc_AREA";1;0
"nasc_codigo_adotado";0;0
"res_MUNNOME";0;0
"res_MUNNOMEX";0;0
"res_AMAZONIA";0;0
"res_FRONTEIRA";0;0
"res_CAPITAL";0;0
"res_MSAUDCOD";0;0
"res_RSAUDCOD";0;0
"res_CSAUDCOD";0;0
"res_ANOEXT";2849146;100
"res_SUCESSOR";2849146;100
"res_LATITUDE";280;0,01
"res_LONGITUDE";280;0,01
"res_ALTITUDE";280;0,01
"res_AREA";280;0,01
"res_codigo_adotado";0;0
"nasc_SIGLA_UF";0;0
"nasc_CODIGO_UF";0;0
"nasc_NOME_UF";0;0
"res_SIGLA_UF";0;0
"res_CODIGO_UF";0;0
"res_NOME_UF";0;0
"nasc_REGIAO";0;0
"res_REGIAO";0;0
"data_nasc";0;0
"dia_semana_nasc";0;0
"ano_nasc";0;0
"parto_prematuro";746;0,03
"def_parto_prematuro";0;0
"codanomal_capitulo";0;0
"codanomal_grupo";0;0
"codanomal_categoria";0;0
"codanomal_subcategoria";0;0
"nasc_coordenadas";0;0
"res_coordenadas";0;0
