40248,1,1505,ATENCAO ESPECIALIZADA EM DRC COM DIALISE PERITONEAL,05,HOSPITAL GERAL,M,MS,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
40248,1,2601,UTI II ADULTO,05,HOSPITAL GERAL,M,MS,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
40248,1,0202,UNID.DE ASSIST. DE ALTA COMPLEXIDADE AO PACIENTE PORTADOR DE OBESIDADE GRAVE,05,HOSPITAL GERAL,M,MS,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
40248,1,0903,CUIDADOS PROLONGADOS - ENFERMIDADES NEUROLÓGICAS,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,ASSOCIACAO PRIVADA
40248,1,1202,"PROCEDIMENTOS CIRURGICOS, DIAGNOSTICOS OU TERAPEUTICOS -HOSPITAL DIA",05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,1,0909,ADESÃO DO MUNICIPIO AO PROJETO OLHAR BRASIL,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,2,0905,CUIDADOS PROLONGADOS - ENFERMIDADES ONCOLIGICAS,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,1,1707,UNACON COM SERVICO DE RADIOTERAPIA,07,HOSPITAL ESPECIALIZADO,M,MS,FUNDACAO PRIVADA
40248,1,0636,SERVIÇOS HOSPITALARES DE REFERENCIA PARA ATENCAO A PESSOAS COM SOFRIMENTO OU TRANTORNO MENTAL INCLUINDO AQUELAS COM NECESSIDADES DECORRENTES DO USO DE ALCOOL E OUTRAS DROGAS,05,HOSPITAL GERAL,M,MS,FUNDACAO PRIVADA
40248,1,1901,LAQUEADURA,05,HOSPITAL GERAL,D,MS,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
40248,1,2612,UTI II ADULTO - SINDROME RESPIRATORIA AGUDA GRAVE (SRAG) - COVID-19,05,HOSPITAL GERAL,M,MS,SOCIEDADE ANONIMA FECHADA
40248,1,1407,CENTRO DE REFERENCIA EM TRIAGEM NEONATAL/ACOMPANHAMENTO E TRATAMENTO - FIBROSE CISTICA,39,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),M,MS,ASSOCIACAO PRIVADA
40248,1,0807,"LABORATÓRIO DE ELETROFISIOLOGIA, CIRURGIA CARDIOVASCULAR E PROCEDIMENTOS DE CARDIOLOGIA INTERVENCIONISTA. O",05,HOSPITAL GERAL,M,MS,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
40248,1,0805,CIRURGIA VASCULAR,05,HOSPITAL GERAL,M,MS,EMPRESA PUBLICA
40248,2,1902,VASECTOMIA,05,HOSPITAL GERAL,M,MS,EMPRESA PUBLICA
40248,1,1505,ATENCAO ESPECIALIZADA EM DRC COM DIALISE PERITONEAL,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,SOCIEDADE SIMPLES PURA
40248,1,1202,"PROCEDIMENTOS CIRURGICOS, DIAGNOSTICOS OU TERAPEUTICOS -HOSPITAL DIA",36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,FUNDACAO PRIVADA
40248,1,3401,CENTRO DE TRAUMA TIPO I,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,4,0403,CENTRO DE ESPECIALIDADES ODONTOLOGICAS I,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,MUNICIPIO
40248,1,2407,CORNEA/ESCLERA,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,SOCIEDADE SIMPLES PURA
40248,1,3203,LABORATÓRIO DE MONITORAMENTO EXTERNO DE QUALIDADE DE EXAMES CITOPATOLOGICOS DE COLO DE UTERO - TIPO II,80,LABORATORIO DE SAUDE PUBLICA,E,MS,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
40248,1,2211,CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE VISUAL,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,ASSOCIACAO PRIVADA
40248,1,1504,ATENCAO ESPECIALIZADA EM DRC COM HEMODIALISE,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,SOCIEDADE SIMPLES LIMITADA
40248,4,2209,CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE INTELECTUAL,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,ASSOCIACAO PRIVADA
40248,1,2205,CENTRO DE REABILITAÇÃO AUDITIVA NA ALTA COMPLEXIDADE,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,FUNDACAO PRIVADA
40248,2,1902,VASECTOMIA,04,POLICLINICA,M,MS,MUNICIPIO
40248,1,1505,ATENCAO ESPECIALIZADA EM DRC COM DIALISE PERITONEAL,36,CLINICA/CENTRO DE ESPECIALIDADE,E,MS,SOCIEDADE EMPRESARIA LIMITADA
40248,5,1505,ATENCAO ESPECIALIZADA EM DRC COM DIALISE PERITONEAL,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,SOCIEDADE EMPRESARIA LIMITADA
40248,1,2301,UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM TERAPIA NUTRICIONAL*,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,1,1602,CENTRO DE REFERENCIA DE ALTA COMPLEXIDADE EM NEUROLOGIA/NEUROCIRURGIA**.,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,1,0802,CENTRO DE REFERENCIA EM ALTA COMPLEXIDADE CARDIOVASCULAR**,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,1,2501,UNIDADE DE ASSISTENCIA DE ALTA COMPLEXIDADE EM TRAUMATO-ORTOPEDIA*,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,1,2703,HOSPITAL TIPO III EM URGENCIA,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,2,0907,ADESÃO DO MUNICIPIO AO PROGRAMA DE CIDADANIA - PRONASCI,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,3,0902,CUIDADOS PROLONGADOS - ENFERMIDADES PNEUMOLIGICAS,05,HOSPITAL GERAL,M,MS,ASSOCIACAO PRIVADA
40248,6,1901,LAQUEADURA,05,HOSPITAL GERAL,M,MS,MUNICIPIO
40248,1,2209,CENTRO ESPECIALIZADO EM REABILITAÇÃO (CER) - MODALIDADE INTELECTUAL,36,CLINICA/CENTRO DE ESPECIALIDADE,M,MS,MUNICIPIO
